Sno,Date,Country/Region,Province/State,Confirmed,Region
131,13-03-2020,India,Jammu and Kashmir,1,India
132,13-03-2020,India,Punjab,1,India
133,13-03-2020,India,Karnataka,6,India
134,13-03-2020,India,Maharashtra,14,India
135,13-03-2020,India,Andhra Pradesh,1,India
136,14-03-2020,India,Delhi,7,India
137,14-03-2020,India,Haryana,14,India
138,14-03-2020,India,Kerala,19,India
139,14-03-2020,India,Rajasthan,3,India
140,14-03-2020,India,Telengana,1,India
141,14-03-2020,India,Uttar Pradesh,12,India
142,14-03-2020,India,Ladakh,3,India
143,14-03-2020,India,Tamil Nadu,1,India
144,14-03-2020,India,Jammu and Kashmir,2,India
145,14-03-2020,India,Punjab,1,India
146,14-03-2020,India,Karnataka,6,India
147,14-03-2020,India,Maharashtra,14,India
148,14-03-2020,India,Andhra Pradesh,1,India
149,15-03-2020,India,Andhra Pradesh,1,India
150,15-03-2020,India,Delhi,7,India
151,15-03-2020,India,Haryana,14,India
152,15-03-2020,India,Karnataka,6,India
153,15-03-2020,India,Kerala,22,India
154,15-03-2020,India,Maharashtra,32,India
155,15-03-2020,India,Punjab,1,India
156,15-03-2020,India,Rajasthan,4,India
157,15-03-2020,India,Tamil Nadu,1,India
158,15-03-2020,India,Telengana,3,India
159,15-03-2020,India,Jammu and Kashmir,2,India
160,15-03-2020,India,Ladakh,3,India
161,15-03-2020,India,Uttar Pradesh,13,India
162,15-03-2020,India,Uttarakhand,1,India
163,16-03-2020,India,Andhra Pradesh,1,India
164,16-03-2020,India,Delhi,7,India
165,16-03-2020,India,Haryana,14,India
166,16-03-2020,India,Karnataka,6,India
167,16-03-2020,India,Kerala,23,India
168,16-03-2020,India,Maharashtra,32,India
169,16-03-2020,India,Odisha,1,India
170,16-03-2020,India,Punjab,1,India
171,16-03-2020,India,Rajasthan,4,India
172,16-03-2020,India,Tamil Nadu,1,India
173,16-03-2020,India,Telengana,3,India
174,16-03-2020,India,Jammu and Kashmir,3,India
175,16-03-2020,India,Ladakh,4,India
176,16-03-2020,India,Uttar Pradesh,13,India
177,16-03-2020,India,Uttarakhand,1,India
178,17-03-2020,India,Andhra Pradesh,1,India
179,17-03-2020,India,Delhi,8,India
180,17-03-2020,India,Haryana,15,India
181,17-03-2020,India,Karnataka,11,India
182,17-03-2020,India,Kerala,26,India
183,17-03-2020,India,Maharashtra,39,India
184,17-03-2020,India,Odisha,1,India
185,17-03-2020,India,Punjab,1,India
186,17-03-2020,India,Rajasthan,4,India
187,17-03-2020,India,Tamil Nadu,1,India
188,17-03-2020,India,Telengana,5,India
189,17-03-2020,India,Jammu and Kashmir,3,India
190,17-03-2020,India,Ladakh,6,India
191,17-03-2020,India,Uttar Pradesh,15,India
192,17-03-2020,India,Uttarakhand,1,India
193,18-03-2020,India,Andhra Pradesh,1,India
194,18-03-2020,India,Delhi,10,India
195,18-03-2020,India,Haryana,17,India
196,18-03-2020,India,Karnataka,11,India
197,18-03-2020,India,Kerala,27,India
198,18-03-2020,India,Maharashtra,42,India
199,18-03-2020,India,Odisha,1,India
200,18-03-2020,India,Puducherry,1,India
201,18-03-2020,India,Punjab,1,India
202,18-03-2020,India,Rajasthan,4,India
203,18-03-2020,India,Tamil Nadu,1,India
204,18-03-2020,India,Telengana,6,India
205,18-03-2020,India,Jammu and Kashmir,3,India
206,18-03-2020,India,Ladakh,8,India
207,18-03-2020,India,Uttar Pradesh,16,India
208,18-03-2020,India,Uttarakhand,1,India
209,18-03-2020,India,West Bengal,1,India
210,19-03-2020,India,Andhra Pradesh,2,India
211,19-03-2020,India,Chhattisgarh,1,India
212,19-03-2020,India,Delhi,12,India
213,19-03-2020,India,Haryana,17,India
214,19-03-2020,India,Karnataka,14,India
215,19-03-2020,India,Kerala,27,India
216,19-03-2020,India,Maharashtra,47,India
217,19-03-2020,India,Odisha,1,India
218,19-03-2020,India,Puducherry,1,India
219,19-03-2020,India,Punjab,2,India
220,19-03-2020,India,Rajasthan,7,India
221,19-03-2020,India,Tamil Nadu,2,India
222,19-03-2020,India,Telengana,6,India
223,19-03-2020,India,Chandigarh,1,India
224,19-03-2020,India,Jammu and Kashmir,4,India
225,19-03-2020,India,Ladakh,8,India
226,19-03-2020,India,Uttar Pradesh,19,India
227,19-03-2020,India,Uttarakhand,1,India
228,19-03-2020,India,West Bengal,1,India
229,20-03-2020,India,Andhra Pradesh,3,India
230,20-03-2020,India,Chhattisgarh,1,India
231,20-03-2020,India,Delhi,17,India
232,20-03-2020,India,Gujarat,5,India
233,20-03-2020,India,Haryana,17,India
234,20-03-2020,India,Karnataka,15,India
235,20-03-2020,India,Kerala,28,India
236,20-03-2020,India,Maharashtra,52,India
237,20-03-2020,India,Odisha,2,India
238,20-03-2020,India,Puducherry,1,India
