Sno,Date,Country/Region,Province/State,Deaths,Region
150,15-03-2020,India,Delhi,1,India
151,15-03-2020,India,Haryana,0,India
152,15-03-2020,India,Karnataka,1,India
153,15-03-2020,India,Kerala,0,India
154,15-03-2020,India,Maharashtra,0,India
155,15-03-2020,India,Punjab,0,India
156,15-03-2020,India,Rajasthan,0,India
157,15-03-2020,India,Tamil Nadu,0,India
158,15-03-2020,India,Telengana,0,India
159,15-03-2020,India,Jammu and Kashmir,0,India
160,15-03-2020,India,Ladakh,0,India
161,15-03-2020,India,Uttar Pradesh,0,India
162,15-03-2020,India,Uttarakhand,0,India
163,16-03-2020,India,Andhra Pradesh,0,India
164,16-03-2020,India,Delhi,1,India
165,16-03-2020,India,Haryana,0,India
166,16-03-2020,India,Karnataka,1,India
167,16-03-2020,India,Kerala,0,India
168,16-03-2020,India,Maharashtra,0,India
169,16-03-2020,India,Odisha,0,India
170,16-03-2020,India,Punjab,0,India
171,16-03-2020,India,Rajasthan,0,India
172,16-03-2020,India,Tamil Nadu,0,India
173,16-03-2020,India,Telengana,0,India
174,16-03-2020,India,Jammu and Kashmir,0,India
175,16-03-2020,India,Ladakh,0,India
176,16-03-2020,India,Uttar Pradesh,0,India
177,16-03-2020,India,Uttarakhand,0,India
178,17-03-2020,India,Andhra Pradesh,0,India
179,17-03-2020,India,Delhi,1,India
180,17-03-2020,India,Haryana,0,India
181,17-03-2020,India,Karnataka,1,India
182,17-03-2020,India,Kerala,0,India
183,17-03-2020,India,Maharashtra,1,India
184,17-03-2020,India,Odisha,0,India
185,17-03-2020,India,Punjab,0,India
186,17-03-2020,India,Rajasthan,0,India
187,17-03-2020,India,Tamil Nadu,0,India
188,17-03-2020,India,Telengana,0,India
189,17-03-2020,India,Jammu and Kashmir,0,India
190,17-03-2020,India,Ladakh,0,India
191,17-03-2020,India,Uttar Pradesh,0,India
192,17-03-2020,India,Uttarakhand,0,India
193,18-03-2020,India,Andhra Pradesh,0,India
194,18-03-2020,India,Delhi,1,India
195,18-03-2020,India,Haryana,0,India
196,18-03-2020,India,Karnataka,1,India
197,18-03-2020,India,Kerala,0,India
198,18-03-2020,India,Maharashtra,1,India
199,18-03-2020,India,Odisha,0,India
200,18-03-2020,India,Puducherry,0,India
201,18-03-2020,India,Punjab,0,India
